timestamps,TP9,AF7,AF8,TP10,Right AUX
1627808072.844,-37.109,-13.184,-23.926,-40.527,0.000
1627808072.848,-1.953,-15.137,-15.137,3.418,0.000
1627808072.852,-11.719,-25.879,-18.555,-2.441,0.000
1627808072.856,-47.852,-23.926,-20.020,-47.852,0.000
1627808072.860,-46.875,-21.973,-15.625,-55.664,0.000
1627808072.864,-12.695,-23.438,-14.648,-11.230,0.000
1627808072.867,-3.906,-19.043,-13.672,12.695,0.000
1627808072.871,-39.062,-25.391,-21.484,-26.855,0.000
1627808072.875,-51.270,-29.297,-18.555,-53.223,0.000
1627808072.879,-18.555,-20.996,-11.719,-19.043,0.000
1627808072.883,-3.906,-16.113,-14.160,10.742,0.000
1627808072.887,-31.738,-13.672,-18.555,-20.508,0.000
1627808072.891,-57.129,-19.531,-19.531,-59.570,0.000
1627808072.895,-34.180,-23.926,-20.020,-35.156,0.000
1627808072.899,-4.395,-27.344,-17.090,9.766,0.000
1627808072.903,-22.461,-21.973,-13.672,0.977,0.000
1627808072.907,-49.316,-16.602,-12.695,-42.969,0.000
1627808072.910,-39.551,-18.555,-5.859,-43.945,0.000
1627808072.914,-4.395,-16.113,-3.418,4.395,0.000
1627808072.918,-6.348,-21.484,-9.766,9.766,0.000
1627808072.922,-46.387,-25.391,-16.602,-41.504,0.000
1627808072.926,-52.246,-20.996,-16.113,-51.758,0.000
1627808072.930,-13.672,-18.555,-10.742,-4.883,0.000
1627808072.934,0.000,-21.973,-16.602,9.766,0.000
1627808072.938,-29.297,-23.926,-21.484,-30.273,0.000
1627808072.942,-47.852,-20.996,-15.625,-54.688,0.000
1627808072.946,-18.066,-19.043,-12.695,-25.879,0.000
1627808072.950,6.348,-15.625,-14.160,6.836,0.000
1627808072.953,-10.742,-14.160,-14.160,-12.207,0.000
1627808072.957,-40.527,-20.996,-21.484,-54.688,0.000
1627808072.961,-28.809,-22.461,-21.973,-40.039,0.000
1627808072.965,6.348,-20.508,-15.137,10.742,0.000
1627808072.969,-3.906,-22.461,-16.602,4.395,0.000
1627808072.973,-33.691,-23.926,-20.508,-42.969,0.000
1627808072.977,-34.180,-24.414,-23.926,-44.922,0.000
1627808072.981,-1.953,-14.648,-18.555,2.930,0.000
1627808072.985,6.836,-6.348,-13.672,14.160,0.000
1627808072.989,-32.227,-15.137,-15.625,-30.273,0.000
1627808072.993,-46.387,-19.531,-14.648,-41.504,0.000
1627808072.996,-8.789,-11.719,-11.719,5.859,0.000
1627808073.000,10.742,-6.348,-8.301,30.273,0.000
1627808073.004,-22.949,-7.812,-9.277,-3.906,0.000
1627808073.008,-43.945,-16.602,-15.137,-35.156,0.000
1627808073.012,-13.672,-21.484,-16.602,-8.789,0.000
1627808073.016,13.672,-14.648,-13.672,26.367,0.000
1627808073.020,-9.766,-12.695,-16.602,-1.953,0.000
1627808073.024,-43.945,-19.531,-19.043,-46.387,0.000
1627808073.028,-28.320,-20.508,-18.066,-30.762,0.000
1627808073.032,6.836,-13.672,-14.160,23.438,0.000
1627808073.035,-1.953,-12.695,-15.137,25.391,0.000
1627808073.039,-35.645,-24.414,-18.066,-26.367,0.000
1627808073.043,-27.832,-20.020,-13.672,-30.273,0.000
1627808073.047,5.859,-6.348,-13.672,15.625,0.000
1627808073.051,10.254,-4.883,-14.648,26.855,0.000
1627808073.055,-25.879,-12.207,-12.207,-20.996,0.000
1627808073.059,-48.340,-17.090,-15.137,-51.270,0.000
1627808073.063,-17.578,-18.555,-15.625,-10.254,0.000
1627808073.067,8.301,-20.508,-14.160,18.555,0.000
1627808073.071,-21.484,-27.344,-18.555,-12.207,0.000
1627808073.075,-46.387,-24.414,-18.066,-40.527,0.000
1627808073.078,-17.090,-16.602,-12.207,-17.578,0.000
1627808073.082,13.184,-14.160,-6.348,23.926,0.000
1627808073.086,-7.812,-16.602,-14.160,9.277,0.000
1627808073.090,-51.270,-27.832,-23.926,-45.898,0.000
1627808073.094,-47.852,-28.320,-17.090,-44.434,0.000
1627808073.098,-6.348,-16.602,-7.812,7.324,0.000
1627808073.102,-7.324,-16.602,-10.254,3.418,0.000
1627808073.106,-38.086,-25.879,-14.648,-41.504,0.000
1627808073.110,-35.645,-20.996,-13.184,-46.387,0.000
1627808073.114,0.488,-16.113,-9.766,-2.930,0.000
1627808073.118,11.719,-19.043,-12.695,16.602,0.000
1627808073.121,-17.090,-21.484,-15.137,-21.973,0.000
1627808073.125,-33.691,-22.461,-12.695,-45.898,0.000
1627808073.129,-6.836,-18.066,-9.766,-10.742,0.000
1627808073.133,10.742,-17.578,-8.301,21.973,0.000
1627808073.137,-18.555,-19.531,-9.277,-2.930,0.000
1627808073.141,-49.316,-20.996,-13.672,-44.922,0.000
1627808073.145,-26.855,-18.555,-14.160,-26.367,0.000
1627808073.149,4.883,-18.555,-13.672,16.602,0.000
1627808073.153,-13.672,-20.020,-13.672,3.906,0.000
1627808073.157,-41.504,-19.043,-13.184,-38.574,0.000
1627808073.160,-34.180,-20.020,-11.719,-34.180,0.000
1627808073.164,-5.371,-21.484,-12.695,7.812,0.000
1627808073.168,-3.906,-17.578,-11.230,11.719,0.000
1627808073.172,-35.645,-18.555,-17.090,-30.273,0.000
1627808073.176,-49.316,-20.508,-20.996,-52.246,0.000
1627808073.180,-21.484,-20.020,-15.625,-14.160,0.000
1627808073.184,-7.812,-16.602,-15.137,7.324,0.000
1627808073.188,-33.691,-11.230,-17.090,-30.273,0.000
1627808073.192,-45.410,-9.766,-18.555,-58.594,0.000
1627808073.196,-16.602,-9.766,-20.508,-26.367,0.000
1627808073.200,4.395,-11.719,-20.508,7.324,0.000
1627808073.203,-22.949,-18.555,-21.973,-20.996,0.000
1627808073.207,-50.781,-20.020,-23.926,-53.223,0.000
1627808073.211,-29.785,-18.066,-20.020,-25.879,0.000
1627808073.215,1.465,-16.602,-11.719,19.043,0.000
1627808073.219,-13.672,-14.648,-14.160,6.836,0.000
1627808073.223,-45.410,-12.695,-20.020,-35.645,0.000
1627808073.227,-39.062,-14.160,-19.531,-37.598,0.000
1627808073.231,-0.488,-11.719,-13.672,4.395,0.000
1627808073.235,5.859,-5.859,-9.277,17.578,0.000
1627808073.239,-40.039,-14.160,-12.695,-27.344,0.000
1627808073.243,-54.199,-18.555,-18.555,-44.922,0.000
1627808073.246,-15.137,-12.695,-15.625,-6.348,0.000
1627808073.250,9.277,-11.719,-12.695,19.531,0.000
1627808073.254,-16.602,-20.020,-20.996,-13.184,0.000
1627808073.258,-41.504,-25.879,-29.297,-55.176,0.000
1627808073.262,-17.578,-19.043,-27.344,-31.250,0.000
1627808073.266,12.695,-8.301,-23.926,14.160,0.000
1627808073.270,-10.742,-7.324,-23.926,-8.301,0.000
1627808073.274,-52.734,-20.020,-26.855,-60.059,0.000
1627808073.278,-41.016,-22.461,-23.438,-42.969,0.000
1627808073.282,1.465,-7.324,-14.648,10.254,0.000
1627808073.286,-7.324,-5.371,-18.066,3.906,0.000
1627808073.289,-45.898,-23.438,-21.973,-46.875,0.000
1627808073.293,-41.504,-25.879,-16.602,-56.641,0.000
1627808073.297,0.977,-10.742,-11.719,-9.766,0.000
1627808073.301,11.230,-8.301,-11.230,2.930,0.000
1627808073.305,-25.879,-19.043,-13.672,-44.434,0.000
1627808073.309,-41.992,-19.531,-15.137,-67.383,0.000
1627808073.313,-10.742,-16.113,-14.160,-23.438,0.000
1627808073.317,13.672,-17.090,-10.742,19.531,0.000
1627808073.321,-17.578,-27.344,-15.137,-8.301,0.000
1627808073.325,-52.734,-27.344,-16.602,-41.992,0.000
1627808073.328,-31.738,-13.672,-6.348,-11.719,0.000
1627808073.332,-3.906,-11.230,-6.348,22.461,0.000
1627808073.336,-22.949,-18.555,-14.160,-2.930,0.000
1627808073.340,-47.363,-12.695,-15.625,-44.434,0.000
1627808073.344,-27.832,-4.883,-11.719,-34.180,0.000
1627808073.348,8.301,-8.301,-5.371,10.254,0.000
1627808073.352,-2.930,-14.160,-13.672,6.836,0.000
1627808073.356,-41.504,-20.508,-24.902,-41.016,0.000
1627808073.360,-46.875,-25.391,-23.926,-54.199,0.000
1627808073.364,-12.207,-24.902,-16.113,-13.672,0.000
1627808073.368,2.441,-20.996,-14.648,13.184,0.000
1627808073.371,-24.414,-21.973,-16.113,-19.531,0.000
1627808073.375,-51.270,-25.391,-19.043,-55.664,0.000
1627808073.379,-22.949,-15.625,-18.066,-23.438,0.000
1627808073.383,6.836,-13.184,-12.695,15.137,0.000
1627808073.387,-24.414,-24.414,-11.719,-20.020,0.000
1627808073.391,-57.129,-26.855,-14.160,-59.570,0.000
1627808073.395,-33.203,-19.531,-15.625,-34.668,0.000
1627808073.399,-2.441,-14.648,-13.184,7.324,0.000
1627808073.403,-20.996,-18.066,-22.461,-13.672,0.000
1627808073.407,-56.152,-23.438,-27.832,-59.082,0.000
1627808073.411,-48.828,-19.043,-20.996,-48.340,0.000
1627808073.414,-8.301,-12.695,-15.625,-5.859,0.000
1627808073.418,-3.906,-20.996,-18.555,-2.930,0.000
1627808073.422,-41.016,-25.879,-18.555,-41.504,0.000
1627808073.426,-48.340,-20.508,-17.578,-53.223,0.000
1627808073.430,-16.113,-21.973,-18.555,-11.230,0.000
1627808073.434,1.465,-19.043,-14.160,14.160,0.000
1627808073.438,-25.879,-23.926,-16.602,-28.320,0.000
1627808073.442,-46.875,-24.414,-20.996,-61.035,0.000
1627808073.446,-10.254,-12.207,-14.160,-21.484,0.000
1627808073.450,20.020,-10.742,-9.766,15.137,0.000
1627808073.454,-10.254,-15.137,-17.578,-13.672,0.000
1627808073.457,-41.504,-21.973,-16.602,-52.246,0.000
1627808073.461,-22.461,-22.461,-10.742,-27.344,0.000
1627808073.465,9.766,-14.160,-8.789,18.555,0.000
1627808073.469,0.000,-13.672,-10.742,5.371,0.000
1627808073.473,-30.273,-11.719,-11.719,-38.574,0.000
1627808073.477,-23.438,-6.348,-12.695,-41.016,0.000
1627808073.481,6.836,-10.254,-13.672,0.000,0.000
1627808073.485,1.465,-16.602,-16.602,8.789,0.000
1627808073.489,-35.156,-20.508,-18.555,-32.227,0.000
1627808073.493,-41.504,-20.020,-16.113,-54.199,0.000
1627808073.496,-1.953,-15.137,-8.301,-10.254,0.000
1627808073.500,16.113,-11.719,-7.812,23.926,0.000
1627808073.504,-17.578,-20.508,-18.066,-20.020,0.000
1627808073.508,-44.434,-23.438,-20.020,-60.547,0.000
1627808073.512,-22.461,-16.113,-19.043,-35.156,0.000
1627808073.516,3.906,-11.719,-18.066,1.953,0.000
1627808073.520,-20.508,-14.160,-18.555,-16.113,0.000
1627808073.524,-57.129,-16.602,-21.973,-59.570,0.000
1627808073.528,-33.691,-12.207,-17.578,-43.945,0.000
1627808073.532,7.812,-11.230,-13.184,6.836,0.000
1627808073.536,-1.953,-20.020,-13.672,4.883,0.000
1627808073.539,-46.875,-30.762,-17.578,-41.504,0.000
1627808073.543,-50.293,-32.227,-20.020,-49.316,0.000
1627808073.547,-6.348,-21.973,-16.602,-2.930,0.000
1627808073.551,6.836,-15.625,-14.648,13.672,0.000
1627808073.555,-27.344,-18.555,-19.043,-28.809,0.000
1627808073.559,-44.922,-18.066,-22.949,-51.758,0.000
1627808073.563,-11.230,-14.160,-18.555,-10.254,0.000
1627808073.567,13.672,-8.789,-16.113,22.461,0.000
1627808073.571,-14.648,-17.578,-17.090,-11.230,0.000
1627808073.575,-41.992,-27.832,-16.113,-47.852,0.000
1627808073.579,-22.949,-26.855,-18.066,-28.320,0.000
1627808073.582,3.906,-23.926,-18.066,6.348,0.000
1627808073.586,-15.625,-28.320,-17.578,-6.348,0.000
1627808073.590,-48.340,-29.785,-20.508,-50.293,0.000
1627808073.594,-39.062,-22.461,-18.066,-47.852,0.000
1627808073.598,-5.371,-20.020,-13.672,-3.906,0.000
1627808073.602,-8.301,-22.949,-14.648,4.395,0.000
1627808073.606,-42.969,-24.414,-17.578,-36.621,0.000
1627808073.610,-50.781,-23.438,-20.996,-53.711,0.000
1627808073.614,-9.766,-17.578,-17.578,-8.301,0.000
1627808073.618,9.766,-12.695,-13.672,21.973,0.000
1627808073.621,-24.902,-21.973,-21.973,-20.996,0.000
1627808073.625,-48.340,-32.227,-23.438,-57.129,0.000
1627808073.629,-18.066,-28.809,-14.648,-21.484,0.000
1627808073.633,3.418,-23.926,-15.625,19.043,0.000
1627808073.637,-21.973,-25.391,-21.484,-5.859,0.000
1627808073.641,-50.781,-27.344,-25.391,-51.270,0.000
1627808073.645,-37.598,-28.320,-25.391,-35.645,0.000
1627808073.649,-4.883,-26.367,-20.020,10.742,0.000
1627808073.653,-14.160,-18.066,-18.555,4.395,0.000
1627808073.657,-49.316,-18.066,-22.461,-41.016,0.000
