timestamps,TP9,AF7,AF8,TP10,Right AUX
1627808619.722,-40.527,-19.043,-11.719,-55.176,0.000
1627808619.726,5.859,-16.113,-6.836,2.930,0.000
1627808619.730,-14.160,-20.020,-11.719,-2.930,0.000
1627808619.734,-73.242,-25.391,-17.578,-63.477,0.000
1627808619.738,-60.547,-22.461,-12.695,-71.777,0.000
1627808619.742,-4.883,-10.742,-7.812,-18.066,0.000
1627808619.745,-8.301,-14.160,-12.695,-5.371,0.000
1627808619.749,-60.547,-24.414,-12.207,-55.664,0.000
1627808619.753,-66.406,-18.066,-9.766,-78.613,0.000
1627808619.757,-16.602,-18.066,-9.766,-36.133,0.000
1627808619.761,-0.977,-15.625,-6.348,-2.930,0.000
1627808619.765,-42.480,-10.742,-9.277,-35.645,0.000
1627808619.769,-65.430,-18.555,-9.277,-75.684,0.000
1627808619.773,-30.762,-14.648,-7.324,-57.129,0.000
1627808619.777,-0.977,-17.578,-6.836,-14.160,0.000
1627808619.781,-29.785,-20.996,-5.371,-25.879,0.000
1627808619.785,-68.848,-20.020,-13.672,-79.590,0.000
1627808619.788,-41.016,-17.090,-16.113,-75.684,0.000
1627808619.792,2.930,-15.137,-13.184,-20.508,0.000
1627808619.796,-17.090,-22.949,-15.137,-15.625,0.000
1627808619.800,-63.477,-19.043,-15.625,-64.941,0.000
1627808619.804,-60.547,-18.555,-14.648,-80.566,0.000
1627808619.808,-11.230,-20.508,-13.672,-31.250,0.000
1627808619.812,-2.930,-18.066,-14.160,-7.324,0.000
1627808619.816,-50.781,-22.461,-18.066,-51.758,0.000
1627808619.820,-69.824,-26.367,-20.996,-88.379,0.000
1627808619.824,-23.926,-20.508,-15.625,-51.758,0.000
1627808619.828,-0.488,-15.625,-14.160,-6.348,0.000
1627808619.831,-38.574,-17.090,-15.625,-26.855,0.000
1627808619.835,-70.801,-18.555,-16.113,-71.289,0.000
1627808619.839,-39.062,-22.461,-15.137,-58.105,0.000
1627808619.843,-11.230,-23.926,-11.719,-11.230,0.000
1627808619.847,-41.504,-26.855,-13.672,-18.555,0.000
1627808619.851,-80.566,-29.297,-17.578,-71.777,0.000
1627808619.855,-62.012,-21.973,-16.113,-73.730,0.000
1627808619.859,-12.207,-18.555,-6.836,-20.020,0.000
1627808619.863,-12.695,-28.320,0.977,-1.465,0.000
1627808619.867,-63.965,-25.391,-7.324,-50.781,0.000
1627808619.870,-66.895,-22.461,-15.137,-77.148,0.000
1627808619.874,-9.766,-24.902,-11.230,-30.762,0.000
1627808619.878,3.906,-23.926,-11.230,1.465,0.000
1627808619.882,-42.969,-20.508,-13.184,-34.180,0.000
1627808619.886,-67.383,-26.855,-12.695,-71.289,0.000
1627808619.890,-26.367,-21.973,-10.254,-38.574,0.000
1627808619.894,0.000,-14.648,-9.277,3.906,0.000
1627808619.898,-41.992,-21.973,-14.160,-26.855,0.000
1627808619.902,-70.801,-28.320,-18.555,-74.219,0.000
1627808619.906,-37.109,-26.367,-19.043,-55.664,0.000
1627808619.910,4.395,-20.508,-17.578,0.488,0.000
1627808619.913,-18.555,-20.996,-17.090,-4.883,0.000
1627808619.917,-65.430,-18.066,-20.020,-58.594,0.000
1627808619.921,-47.363,-29.785,-17.090,-56.152,0.000
1627808619.925,2.930,-33.203,-12.207,-5.371,0.000
1627808619.929,-3.906,-22.461,-11.230,8.789,0.000
1627808619.933,-53.223,-27.344,-12.695,-39.551,0.000
1627808619.937,-59.570,-31.738,-11.230,-67.871,0.000
1627808619.941,-6.348,-26.855,-2.441,-21.484,0.000
1627808619.945,10.742,-22.461,-6.836,13.184,0.000
1627808619.949,-27.832,-17.090,-10.742,-20.996,0.000
1627808619.953,-50.293,-20.020,-11.719,-63.477,0.000
1627808619.956,-13.184,-24.902,-5.859,-37.109,0.000
1627808619.960,19.043,-20.508,-2.441,9.277,0.000
1627808619.964,-16.113,-23.926,-5.371,-9.766,0.000
1627808619.968,-44.922,-17.578,-8.789,-50.781,0.000
1627808619.972,-23.438,-15.137,-11.719,-44.434,0.000
1627808619.976,9.277,-11.230,-9.766,3.418,0.000
1627808619.980,-9.766,-19.043,-8.301,2.441,0.000
1627808619.984,-60.059,-16.602,-10.254,-51.758,0.000
1627808619.988,-50.293,-24.414,-12.207,-60.059,0.000
1627808619.992,-3.418,-29.297,-10.742,-8.789,0.000
1627808619.996,-2.930,-24.902,-7.324,10.254,0.000
1627808619.999,-51.270,-29.297,-9.766,-37.598,0.000
1627808620.003,-65.430,-23.926,-12.695,-69.824,0.000
1627808620.007,-12.207,-21.484,-5.371,-28.320,0.000
1627808620.011,13.184,-24.902,-2.441,12.695,0.000
1627808620.015,-36.133,-24.902,-13.184,-21.973,0.000
1627808620.019,-71.777,-29.297,-19.043,-69.824,0.000
1627808620.023,-34.668,-25.879,-12.207,-43.945,0.000
1627808620.027,-2.441,-22.949,-8.789,2.930,0.000
1627808620.031,-36.621,-31.250,-17.090,-18.066,0.000
1627808620.035,-76.172,-33.691,-16.602,-68.359,0.000
1627808620.039,-53.711,-24.902,-14.648,-61.035,0.000
1627808620.042,-5.859,-20.020,-6.836,-6.836,0.000
1627808620.046,-23.926,-17.578,-4.395,-7.812,0.000
1627808620.050,-65.430,-30.273,-14.160,-61.035,0.000
1627808620.054,-65.430,-39.551,-13.672,-78.613,0.000
1627808620.058,-15.137,-29.297,-7.812,-30.762,0.000
1627808620.062,-7.324,-19.043,-11.230,-7.812,0.000
1627808620.066,-57.129,-34.180,-19.531,-51.758,0.000
1627808620.070,-68.359,-34.668,-17.090,-75.195,0.000
1627808620.074,-15.137,-23.926,-10.742,-31.738,0.000
1627808620.078,7.324,-27.344,-12.207,2.930,0.000
1627808620.081,-44.434,-29.785,-17.578,-30.273,0.000
1627808620.085,-67.871,-32.715,-18.066,-71.777,0.000
